arm,segment,step,scored_px,ink_px,best_f1,best_threshold,precision,recall,iou,balanced_accuracy
loso43,pherc0139-w035,020000,1018807,321472,0.7081,84,0.6501,0.7774,0.5481,0.7923
loso43,pherc0139-w035,030000,1018807,321472,0.6796,80,0.6401,0.7242,0.5146,0.7682
loso43,pherc0139-w035,040000,1018807,321472,0.6925,78,0.6625,0.7253,0.5296,0.7775
loso43,pherc0139-w035,050000,1018807,321472,0.7174,78,0.6903,0.7466,0.5593,0.7961
loso43,pherc0139-w035,060000,1018807,321472,0.7284,77,0.6823,0.7811,0.5728,0.8067
loso43,pherc0139-w035,075000,1018807,321472,0.7399,78,0.7090,0.7735,0.5871,0.8136
ref42,pherc0139-w035,010000,1018807,321472,0.8183,131,0.8105,0.8263,0.6925,0.8686
ref42,pherc0139-w035,020000,1018807,321472,0.8877,134,0.8800,0.8954,0.7980,0.9196
ref42,pherc0139-w035,030000,1018807,321472,0.9189,121,0.9086,0.9295,0.8500,0.9432
ref42,pherc0139-w035,040000,1018807,321472,0.9390,126,0.9389,0.9391,0.8850,0.9555
ref42,pherc0139-w035,050000,1018807,321472,0.9574,122,0.9572,0.9577,0.9183,0.9690
ref42,pherc0139-w035,060000,1018807,321472,0.9674,128,0.9670,0.9677,0.9368,0.9763
ref42,pherc0139-w035,075000,1018807,321472,0.9764,119,0.9762,0.9766,0.9539,0.9828
ref43,pherc0139-w035,010000,1018807,321472,0.8097,111,0.7960,0.8239,0.6802,0.8633
ref43,pherc0139-w035,020000,1018807,321472,0.8601,105,0.8289,0.8937,0.7545,0.9043
ref43,pherc0139-w035,030000,1018807,321472,0.8969,126,0.8911,0.9029,0.8131,0.9260
ref43,pherc0139-w035,040000,1018807,321472,0.9338,124,0.9232,0.9446,0.8758,0.9542
ref43,pherc0139-w035,050000,1018807,321472,0.9523,128,0.9493,0.9554,0.9090,0.9659
ref43,pherc0139-w035,060000,1018807,321472,0.9646,126,0.9660,0.9631,0.9315,0.9737
ref43,pherc0139-w035,075000,1018807,321472,0.9722,128,0.9732,0.9711,0.9459,0.9794
loso42,pherc0139-w039,010000,546650,175084,0.5855,79,0.4681,0.7815,0.4139,0.6815
loso42,pherc0139-w039,020000,546650,175084,0.6157,75,0.5451,0.7073,0.4448,0.7146
loso42,pherc0139-w039,030000,546650,175084,0.5673,72,0.4410,0.7951,0.3960,0.6601
loso42,pherc0139-w039,040000,546650,175084,0.5714,66,0.4711,0.7262,0.4000,0.6710
loso42,pherc0139-w039,050000,546650,175084,0.5087,65,0.3980,0.7048,0.3411,0.6012
loso42,pherc0139-w039,060000,546650,175084,0.5718,65,0.4635,0.7461,0.4003,0.6695
loso42,pherc0139-w039,075000,546650,175084,0.5573,65,0.4484,0.7361,0.3863,0.6547
loso43,pherc0139-w039,010000,546650,175084,0.5830,82,0.4927,0.7139,0.4115,0.6838
loso43,pherc0139-w039,020000,546650,175084,0.6544,79,0.5662,0.7752,0.4863,0.7476
loso43,pherc0139-w039,030000,546650,175084,0.6096,73,0.5358,0.7068,0.4384,0.7092
loso43,pherc0139-w039,040000,546650,175084,0.5781,79,0.6128,0.5471,0.4066,0.6921
loso43,pherc0139-w039,050000,546650,175084,0.6276,68,0.5477,0.7347,0.4573,0.7244
loso43,pherc0139-w039,060000,546650,175084,0.6340,70,0.5514,0.7458,0.4642,0.7299
loso43,pherc0139-w039,075000,546650,175084,0.6199,69,0.5715,0.6772,0.4491,0.7190
ref42,pherc0139-w039,010000,546650,175084,0.7879,127,0.7686,0.8083,0.6501,0.8468
ref42,pherc0139-w039,020000,546650,175084,0.8954,121,0.8887,0.9022,0.8106,0.9245
ref42,pherc0139-w039,030000,546650,175084,0.9411,122,0.9382,0.9440,0.8888,0.9574
ref42,pherc0139-w039,040000,546650,175084,0.9563,126,0.9497,0.9630,0.9163,0.9695
ref42,pherc0139-w039,050000,546650,175084,0.9695,131,0.9675,0.9715,0.9408,0.9781
ref42,pherc0139-w039,060000,546650,175084,0.9784,138,0.9773,0.9795,0.9578,0.9844
ref42,pherc0139-w039,075000,546650,175084,0.9802,128,0.9751,0.9854,0.9612,0.9868
ref43,pherc0139-w039,010000,546650,175084,0.7798,120,0.7607,0.7999,0.6391,0.8407
ref43,pherc0139-w039,020000,546650,175084,0.8783,117,0.8733,0.8833,0.7830,0.9115
ref43,pherc0139-w039,030000,546650,175084,0.9147,119,0.9017,0.9282,0.8428,0.9402
ref43,pherc0139-w039,040000,546650,175084,0.9441,128,0.9433,0.9450,0.8942,0.9591
ref43,pherc0139-w039,050000,546650,175084,0.9615,124,0.9563,0.9667,0.9258,0.9730
ref43,pherc0139-w039,060000,546650,175084,0.9717,130,0.9671,0.9764,0.9450,0.9804
ref43,pherc0139-w039,075000,546650,175084,0.9787,129,0.9753,0.9821,0.9583,0.9852
loso42,pherc0139-w040,010000,1548382,687666,0.6835,81,0.6258,0.7528,0.5191,0.6966
loso42,pherc0139-w040,020000,1548382,687666,0.6835,74,0.6546,0.7151,0.5192,0.7068
loso42,pherc0139-w040,030000,1548382,687666,0.6796,77,0.6360,0.7296,0.5146,0.6980
loso42,pherc0139-w040,040000,1548382,687666,0.6464,66,0.5678,0.7504,0.4776,0.6470
loso42,pherc0139-w040,050000,1548382,687666,0.6335,64,0.5186,0.8139,0.4636,0.6051
loso42,pherc0139-w040,060000,1548382,687666,0.6399,65,0.5623,0.7423,0.4705,0.6403
loso42,pherc0139-w040,075000,1548382,687666,0.6445,65,0.5527,0.7729,0.4755,0.6365
loso43,pherc0139-w040,010000,1548382,687666,0.6708,78,0.5694,0.8162,0.5047,0.6616
loso43,pherc0139-w040,020000,1548382,687666,0.7033,79,0.6596,0.7531,0.5423,0.7213
loso43,pherc0139-w040,030000,1548382,687666,0.6695,73,0.5954,0.7647,0.5032,0.6747
loso43,pherc0139-w040,040000,1548382,687666,0.6797,72,0.6291,0.7390,0.5148,0.6955
loso43,pherc0139-w040,050000,1548382,687666,0.6625,66,0.5904,0.7547,0.4953,0.6682
loso43,pherc0139-w040,060000,1548382,687666,0.6484,65,0.5544,0.7807,0.4797,0.6397
loso43,pherc0139-w040,075000,1548382,687666,0.6455,64,0.5420,0.7977,0.4765,0.6296
ref42,pherc0139-w040,010000,1548382,687666,0.7921,122,0.7782,0.8065,0.6557,0.8114
ref42,pherc0139-w040,020000,1548382,687666,0.8404,113,0.8266,0.8547,0.7247,0.8557
ref42,pherc0139-w040,030000,1548382,687666,0.8862,112,0.8749,0.8977,0.7956,0.8976
ref42,pherc0139-w040,040000,1548382,687666,0.9175,125,0.9091,0.9262,0.8476,0.9261
ref42,pherc0139-w040,050000,1548382,687666,0.9405,124,0.9387,0.9422,0.8876,0.9465
ref42,pherc0139-w040,060000,1548382,687666,0.9552,131,0.9525,0.9580,0.9143,0.9599
ref42,pherc0139-w040,075000,1548382,687666,0.9641,126,0.9622,0.9660,0.9308,0.9679
ref43,pherc0139-w040,010000,1548382,687666,0.7814,111,0.7728,0.7903,0.6413,0.8023
ref43,pherc0139-w040,020000,1548382,687666,0.8285,108,0.8346,0.8226,0.7073,0.8462
ref43,pherc0139-w040,030000,1548382,687666,0.8722,106,0.8485,0.8974,0.7734,0.8847
ref43,pherc0139-w040,040000,1548382,687666,0.9066,125,0.8968,0.9165,0.8291,0.9161
ref43,pherc0139-w040,050000,1548382,687666,0.9278,123,0.9197,0.9360,0.8653,0.9353
ref43,pherc0139-w040,060000,1548382,687666,0.9460,122,0.9429,0.9491,0.8975,0.9516
ref43,pherc0139-w040,075000,1548382,687666,0.9602,130,0.9590,0.9613,0.9234,0.9643
loso42,pherc0139-w041,010000,526815,219912,0.6766,81,0.6400,0.7177,0.5112,0.7142
loso42,pherc0139-w041,020000,526815,219912,0.6651,72,0.6146,0.7246,0.4982,0.6995
loso42,pherc0139-w041,030000,526815,219912,0.6571,81,0.6767,0.6386,0.4893,0.7100
loso42,pherc0139-w041,040000,526815,219912,0.7277,69,0.6803,0.7823,0.5720,0.7594
loso42,pherc0139-w041,050000,526815,219912,0.6678,66,0.6217,0.7213,0.5013,0.7034
loso42,pherc0139-w041,060000,526815,219912,0.6355,67,0.6230,0.6485,0.4658,0.6837
loso42,pherc0139-w041,075000,526815,219912,0.6520,68,0.6291,0.6766,0.4836,0.6954
loso43,pherc0139-w041,010000,526815,219912,0.6554,78,0.5479,0.8155,0.4875,0.6667
loso43,pherc0139-w041,020000,526815,219912,0.7340,80,0.7029,0.7681,0.5798,0.7677
loso43,pherc0139-w041,030000,526815,219912,0.7250,70,0.6551,0.8116,0.5687,0.7528
loso43,pherc0139-w041,040000,526815,219912,0.6756,70,0.6242,0.7362,0.5101,0.7093
loso43,pherc0139-w041,050000,526815,219912,0.6908,69,0.6611,0.7234,0.5277,0.7288
loso43,pherc0139-w041,060000,526815,219912,0.6915,72,0.6634,0.7221,0.5285,0.7298
loso43,pherc0139-w041,075000,526815,219912,0.6745,66,0.6040,0.7636,0.5089,0.7025
ref42,pherc0139-w041,010000,526815,219912,0.8356,119,0.8069,0.8665,0.7177,0.8590
ref42,pherc0139-w041,020000,526815,219912,0.9081,118,0.9012,0.9150,0.8316,0.9216
ref42,pherc0139-w041,030000,526815,219912,0.9467,123,0.9458,0.9476,0.8988,0.9544
ref42,pherc0139-w041,040000,526815,219912,0.9620,125,0.9565,0.9674,0.9267,0.9680
ref42,pherc0139-w041,050000,526815,219912,0.9737,137,0.9750,0.9724,0.9487,0.9773
ref42,pherc0139-w041,060000,526815,219912,0.9801,141,0.9797,0.9804,0.9609,0.9829
ref42,pherc0139-w041,075000,526815,219912,0.9857,135,0.9848,0.9866,0.9717,0.9878
ref43,pherc0139-w041,010000,526815,219912,0.7982,109,0.7513,0.8514,0.6642,0.8247
ref43,pherc0139-w041,020000,526815,219912,0.8974,115,0.8936,0.9013,0.8140,0.9122
ref43,pherc0139-w041,030000,526815,219912,0.9336,121,0.9321,0.9352,0.8755,0.9432
ref43,pherc0139-w041,040000,526815,219912,0.9580,128,0.9547,0.9614,0.9195,0.9644
ref43,pherc0139-w041,050000,526815,219912,0.9688,128,0.9689,0.9688,0.9395,0.9732
ref43,pherc0139-w041,060000,526815,219912,0.9778,117,0.9736,0.9821,0.9566,0.9815
ref43,pherc0139-w041,075000,526815,219912,0.9821,127,0.9815,0.9826,0.9648,0.9847
loso42,pherc0139-w043,010000,433168,193692,0.7491,105,0.7381,0.7604,0.5988,0.7711
loso42,pherc0139-w043,020000,433168,193692,0.7518,91,0.6920,0.8228,0.6023,0.7633
loso42,pherc0139-w043,030000,433168,193692,0.7361,103,0.7340,0.7383,0.5824,0.7609
loso42,pherc0139-w043,040000,433168,193692,0.7137,66,0.5918,0.8988,0.5548,0.6987
