arm,segment,step,scored_px,ink_px,best_f1,best_threshold,precision,recall,iou,balanced_accuracy
loso43,phercparis4-w06,010000,11074717,3443040,0.4765,78,0.3205,0.9280,0.3128,0.5202
loso43,phercparis4-w06,020000,11074717,3443040,0.4985,77,0.3694,0.7663,0.3320,0.5880
loso43,phercparis4-w06,030000,11074717,3443040,0.4888,66,0.3479,0.8216,0.3235,0.5634
loso43,phercparis4-w06,040000,11074717,3443040,0.4855,65,0.3441,0.8241,0.3205,0.5577
loso43,phercparis4-w06,050000,11074717,3443040,0.4794,63,0.3309,0.8701,0.3153,0.5382
loso43,phercparis4-w06,060000,11074717,3443040,0.4778,63,0.3255,0.8981,0.3139,0.5292
loso43,phercparis4-w06,075000,11074717,3443040,0.4762,61,0.3196,0.9335,0.3125,0.5185
ref42,phercparis4-w06,010000,11074717,3443040,0.7577,131,0.7575,0.7580,0.6100,0.8243
ref42,phercparis4-w06,020000,11074717,3443040,0.8121,120,0.8278,0.7971,0.6837,0.8611
ref42,phercparis4-w06,030000,11074717,3443040,0.8321,121,0.8420,0.8225,0.7125,0.8764
ref42,phercparis4-w06,040000,11074717,3443040,0.8443,119,0.8463,0.8424,0.7306,0.8867
ref42,phercparis4-w06,050000,11074717,3443040,0.8518,118,0.8527,0.8509,0.7418,0.8923
ref42,phercparis4-w06,060000,11074717,3443040,0.8627,118,0.8541,0.8716,0.7586,0.9022
ref42,phercparis4-w06,075000,11074717,3443040,0.8740,117,0.8640,0.8842,0.7762,0.9107
ref43,phercparis4-w06,010000,11074717,3443040,0.7470,123,0.7620,0.7326,0.5962,0.8147
ref43,phercparis4-w06,020000,11074717,3443040,0.8123,112,0.8196,0.8051,0.6839,0.8626
ref43,phercparis4-w06,030000,11074717,3443040,0.8352,119,0.8369,0.8336,0.7171,0.8802
ref43,phercparis4-w06,040000,11074717,3443040,0.8430,118,0.8449,0.8411,0.7286,0.8857
ref43,phercparis4-w06,050000,11074717,3443040,0.8522,125,0.8505,0.8539,0.7425,0.8931
ref43,phercparis4-w06,060000,11074717,3443040,0.8593,120,0.8603,0.8582,0.7533,0.8977
ref43,phercparis4-w06,075000,11074717,3443040,0.8680,119,0.8664,0.8696,0.7668,0.9045
loso42,phercparis4-w07,010000,16003870,5022838,0.5542,94,0.5264,0.5851,0.3833,0.6721
loso42,phercparis4-w07,020000,16003870,5022838,0.5522,89,0.4798,0.6504,0.3814,0.6639
loso42,phercparis4-w07,030000,16003870,5022838,0.5252,75,0.4279,0.6797,0.3561,0.6320
loso42,phercparis4-w07,040000,16003870,5022838,0.4948,66,0.3679,0.7554,0.3288,0.5809
loso42,phercparis4-w07,050000,16003870,5022838,0.5147,72,0.4089,0.6944,0.3465,0.6176
loso42,phercparis4-w07,060000,16003870,5022838,0.5027,67,0.3795,0.7443,0.3358,0.5939
loso42,phercparis4-w07,075000,16003870,5022838,0.5042,68,0.3943,0.6990,0.3371,0.6039
loso43,phercparis4-w07,010000,16003870,5022838,0.5277,91,0.4581,0.6222,0.3584,0.6428
loso43,phercparis4-w07,020000,16003870,5022838,0.5551,96,0.5158,0.6008,0.3841,0.6714
loso43,phercparis4-w07,030000,16003870,5022838,0.5301,81,0.4766,0.5971,0.3606,0.6486
loso43,phercparis4-w07,040000,16003870,5022838,0.5157,71,0.4298,0.6445,0.3474,0.6267
loso43,phercparis4-w07,050000,16003870,5022838,0.5255,76,0.4530,0.6255,0.3564,0.6400
loso43,phercparis4-w07,060000,16003870,5022838,0.5107,69,0.3949,0.7227,0.3430,0.6081
loso43,phercparis4-w07,075000,16003870,5022838,0.5051,68,0.4047,0.6717,0.3379,0.6099
ref42,phercparis4-w07,010000,16003870,5022838,0.7680,133,0.7761,0.7601,0.6233,0.8299
ref42,phercparis4-w07,020000,16003870,5022838,0.8033,119,0.8190,0.7881,0.6712,0.8542
ref42,phercparis4-w07,030000,16003870,5022838,0.8269,119,0.8347,0.8192,0.7049,0.8725
ref42,phercparis4-w07,040000,16003870,5022838,0.8382,122,0.8424,0.8340,0.7214,0.8813
ref42,phercparis4-w07,050000,16003870,5022838,0.8454,116,0.8481,0.8427,0.7322,0.8868
ref42,phercparis4-w07,060000,16003870,5022838,0.8577,120,0.8564,0.8590,0.7509,0.8966
ref42,phercparis4-w07,075000,16003870,5022838,0.8663,121,0.8664,0.8662,0.7642,0.9026
ref43,phercparis4-w07,010000,16003870,5022838,0.7624,122,0.7679,0.7570,0.6161,0.8262
ref43,phercparis4-w07,020000,16003870,5022838,0.8046,110,0.8118,0.7976,0.6731,0.8565
ref43,phercparis4-w07,030000,16003870,5022838,0.8229,118,0.8284,0.8176,0.6991,0.8700
ref43,phercparis4-w07,040000,16003870,5022838,0.8363,115,0.8378,0.8349,0.7187,0.8805
ref43,phercparis4-w07,050000,16003870,5022838,0.8497,126,0.8493,0.8501,0.7387,0.8906
ref43,phercparis4-w07,060000,16003870,5022838,0.8582,118,0.8523,0.8642,0.7516,0.8978
ref43,phercparis4-w07,075000,16003870,5022838,0.8677,120,0.8674,0.8681,0.7664,0.9037
loso42,phercparis4-w09,010000,5238005,1487875,0.5780,102,0.5217,0.6479,0.4064,0.7061
loso42,phercparis4-w09,020000,5238005,1487875,0.5875,108,0.5363,0.6495,0.4159,0.7133
loso42,phercparis4-w09,030000,5238005,1487875,0.5321,88,0.4475,0.6560,0.3625,0.6673
loso42,phercparis4-w09,040000,5238005,1487875,0.4867,72,0.3691,0.7144,0.3216,0.6149
loso42,phercparis4-w09,050000,5238005,1487875,0.5190,83,0.4139,0.6957,0.3505,0.6524
loso42,phercparis4-w09,060000,5238005,1487875,0.5074,74,0.3851,0.7433,0.3399,0.6363
loso42,phercparis4-w09,075000,5238005,1487875,0.5008,73,0.3832,0.7226,0.3341,0.6306
loso43,phercparis4-w09,010000,5238005,1487875,0.5448,105,0.4881,0.6165,0.3744,0.6800
loso43,phercparis4-w09,020000,5238005,1487875,0.5981,112,0.5352,0.6778,0.4267,0.7221
loso43,phercparis4-w09,030000,5238005,1487875,0.5387,94,0.4724,0.6267,0.3687,0.6745
loso43,phercparis4-w09,040000,5238005,1487875,0.5437,81,0.4633,0.6580,0.3734,0.6778
loso43,phercparis4-w09,050000,5238005,1487875,0.5628,88,0.4812,0.6778,0.3916,0.6939
loso43,phercparis4-w09,060000,5238005,1487875,0.5231,86,0.4423,0.6400,0.3542,0.6599
loso43,phercparis4-w09,075000,5238005,1487875,0.5227,80,0.4454,0.6324,0.3538,0.6600
ref42,phercparis4-w09,010000,5238005,1487875,0.8010,144,0.7848,0.8179,0.6681,0.8645
ref42,phercparis4-w09,020000,5238005,1487875,0.8288,136,0.8272,0.8304,0.7076,0.8808
ref42,phercparis4-w09,030000,5238005,1487875,0.8454,128,0.8277,0.8638,0.7322,0.8962
ref42,phercparis4-w09,040000,5238005,1487875,0.8519,130,0.8399,0.8643,0.7420,0.8995
ref42,phercparis4-w09,050000,5238005,1487875,0.8646,122,0.8480,0.8818,0.7615,0.9096
ref42,phercparis4-w09,060000,5238005,1487875,0.8765,123,0.8526,0.9018,0.7802,0.9200
ref42,phercparis4-w09,075000,5238005,1487875,0.8890,125,0.8691,0.9099,0.8002,0.9278
ref43,phercparis4-w09,010000,5238005,1487875,0.7849,133,0.7695,0.8009,0.6460,0.8529
ref43,phercparis4-w09,020000,5238005,1487875,0.8285,130,0.8159,0.8415,0.7072,0.8831
ref43,phercparis4-w09,030000,5238005,1487875,0.8453,128,0.8339,0.8569,0.7320,0.8946
ref43,phercparis4-w09,040000,5238005,1487875,0.8489,126,0.8308,0.8678,0.7375,0.8988
ref43,phercparis4-w09,050000,5238005,1487875,0.8663,139,0.8553,0.8776,0.7642,0.9094
ref43,phercparis4-w09,060000,5238005,1487875,0.8756,132,0.8603,0.8916,0.7788,0.9171
ref43,phercparis4-w09,075000,5238005,1487875,0.8839,130,0.8705,0.8977,0.7919,0.9223
